Codes,Site Name,Depot
80303,NEW AWAIS QARNI PETROLEUM SERVICE,Port Qasim
80304,M. YOUSUF PETROLEUM SERVICE,Shikarpur
80304,M. YOUSUF PETROLEUM SERVICE,Dolatpur
80304,M. YOUSUF PETROLEUM SERVICE,Mehmoodkot
80305,HYDER AUTOS,Quetta
80306,M. SULEMAN PETROLEUM SERVICE,Kemari
80306,M. SULEMAN PETROLEUM SERVICE,Refinery
80306,M. SULEMAN PETROLEUM SERVICE,Port Qasim
80307,AL-AHSAN FILLING STATION,Sihala
80308,AL MUNIR FILLING STATION,Mehmoodkot
80308,AL MUNIR FILLING STATION,Parco
80309,SHEHZAD MOUSA KHEL PETROLEUM SERVIC,Mehmoodkot
80309,SHEHZAD MOUSA KHEL PETROLEUM SERVIC,Parco
80310,UMER PETROLEUM SERVICES,Gatti
80310,UMER PETROLEUM SERVICES,Machikey
80310,UMER PETROLEUM SERVICES,Mehmoodkot
80312,RANA TAJ PETROLEUM SERVICE,Shikarpur
80312,RANA TAJ PETROLEUM SERVICE,Dolatpur
80312,RANA TAJ PETROLEUM SERVICE,Mehmoodkot
80313,WISAL FILLING STATION,Taru jabba
80315,BILAL TRUCKING STATION,Shikarpur
80315,BILAL TRUCKING STATION,Dolatpur
80315,BILAL TRUCKING STATION,Mehmoodkot
80319,MARWAT 2 FILLING STATION KOT ADDU,Mehmoodkot
80319,MARWAT 2 FILLING STATION KOT ADDU,Parco
80320,QAZI FILLING STATION,Mehmoodkot
80320,QAZI FILLING STATION,Parco
80321,NEW YARAAN BROTHERS,Quetta
80322,AL-BARKAT PETROLEUM SERVICES,Mehmoodkot
80322,AL-BARKAT PETROLEUM SERVICES,Parco
80323,SOHLA FILLING STATION,Vihari
80323,SOHLA FILLING STATION,Mehmoodkot
80324,MANJ PETROLEUM SERVICES,Chakpirana
80324,MANJ PETROLEUM SERVICES,Machikey
80325,SHAH JALAL PETROLEUM SERVICES,Gatti
80325,SHAH JALAL PETROLEUM SERVICES,Machikey
80325,SHAH JALAL PETROLEUM SERVICES,Mehmoodkot
80326,FATIMA PETROLEUM SERVICES,Shikarpur
80326,FATIMA PETROLEUM SERVICES,Dolatpur
80326,FATIMA PETROLEUM SERVICES,Mehmoodkot
80327,WHEEL FILLING STATION,Kemari
80327,WHEEL FILLING STATION,Refinery
80327,WHEEL FILLING STATION,Port Qasim
80328,KHALID PETROLEUM,Sahiwal
80329,AL-HAFIZ PETROLEUM,Mehmoodkot
80329,AL-HAFIZ PETROLEUM,Parco
80332,RAWAL HASNAIN PETROLEUM SERVICE,Shikarpur
80332,RAWAL HASNAIN PETROLEUM SERVICE,Dolatpur
80332,RAWAL HASNAIN PETROLEUM SERVICE,Mehmoodkot
80333,WAIZ PETROLEUM & CNG FILLING STATIO,Kemari
80333,WAIZ PETROLEUM & CNG FILLING STATIO,Refinery
80333,WAIZ PETROLEUM & CNG FILLING STATIO,Port Qasim
80334,AL FALAH FILLING STATION,Shikarpur
80334,AL FALAH FILLING STATION,Dolatpur
80334,AL FALAH FILLING STATION,Mehmoodkot
80335,AKHUNZADA FILLING STATION,Mehmoodkot
80335,AKHUNZADA FILLING STATION,Parco
80336,INDUS FILLING STATION,Shikarpur
80336,INDUS FILLING STATION,Dolatpur
80336,INDUS FILLING STATION,Mehmoodkot
80337,AL-TARIQ GAS PVT LTD,Kemari
80337,AL-TARIQ GAS PVT LTD,Refinery
80337,AL-TARIQ GAS PVT LTD,Port Qasim
80339,HONEY FILLING STATION,Shikarpur
80339,HONEY FILLING STATION,Dolatpur
80339,HONEY FILLING STATION,Mehmoodkot
80340,DUNYAPUR FILLING STATION,Vihari
80340,DUNYAPUR FILLING STATION,Mehmoodkot
80341,SEHWAN FILLING STATION,Shikarpur
80341,SEHWAN FILLING STATION,Dolatpur
80341,SEHWAN FILLING STATION,Mehmoodkot
80342,USMANIA CNG & FILLING STATION,Vihari
80342,USMANIA CNG & FILLING STATION,Mehmoodkot
80343,NAEEM FILLING STATION,Shikarpur
80343,NAEEM FILLING STATION,Dolatpur
80343,NAEEM FILLING STATION,Mehmoodkot
